Name,Email,Created,Onboarding Percentage,StagesHistory New Date Time,StagesHistory Onboarding Date Time,StagesHistory Launched Date Time,Reference By,Referral Name,Platform,Lead Source,CSM,Status
Flash Roofing Inc,dylan@flashroof.com,12-09-2023 18:37,100,,20-10-2023 07:21,,,,Marketplace,,,Approved
Renova/International Air,alexisc.renova@gmail.com,15-09-2023 18:19,0,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
No Limit Roofing,nolimitroofing.jacky@gmail.com,15-09-2023 20:48,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
ABC Supply,kelvin@abcsupply.com,20-09-2023 14:28,77.38,,30-10-2023 16:32,,,,Sales Enablement,,,Dormant
Precision Solar Solutions,tlondon1@yahoo.com,20-09-2023 16:39,60,,,,,,Sales Enablement,LinkedIn,,Dormant
Our World Energy,cantonucci@ourworldenergy.com,20-09-2023 19:15,100,,09-10-2023 14:48,,goodleap,,Sales Enablement,,Jeff Darling(jdarling@subcontractorhub.com),Ready To Launch
Summit Lending,jamescua@summitlbc.com,20-09-2023 21:48,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Kairos Energy Group,info@kairosenergized.com,20-09-2023 22:04,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Kenkay Solar,felix@kenkaysolar.com,20-09-2023 22:09,88.89,,,21-12-2023 03:27,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Launched
Klick Solar,cody@klicksolar.com,20-09-2023 22:29,0,,,,,Ryan Higgins,Sales Enablement,Referral,,Not Interested
MMC Lending,tom@mmclending.com,20-09-2023 22:55,0,,,,,,Sales Enablement,LinkedIn,,Dormant
OSI Express Inc,rwade@osiexpress.com,20-09-2023 22:59,0,27-10-2023 16:45,,,,,Sales Enablement,LinkedIn,,Dormant
Next Phase Electric,jabel@nextphaseelect.com,20-09-2023 23:03,100,,03-10-2023 22:32,02-07-2024 22:38,goodleap,Broc Spinello,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Destined Energy,jorge@destinednrg.com,21-09-2023 01:26,16.67,,,,,,Sales Enablement,LinkedIn,,Follow Up
All Energy Solar,michael.allen@allenergysolar.com,21-09-2023 21:41,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
TriSMART Solar,zhall@trismartsolar.com,21-09-2023 21:46,71.43,17-03-2024 20:32,02-04-2024 17:35,13-08-2024 03:27,goodleap,Dustin O'Dell,Sales Enablement,Partnership,Eric Roberts(eroberts+admin@solarquote.com),Launched
Texas Solar,wturner@txsolar.com,21-09-2023 21:48,0,,,,,Dustin O'Dell,Sales Enablement,Partnership,,Not Interested
Catalyst Solar,doug@catalystsol.com,21-09-2023 21:53,87.5,,27-03-2024 03:14,27-03-2024 03:28,,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
CB Solar Inc,ben@cbsolarinc.com,21-09-2023 21:57,0,,,,,,Sales Enablement,LinkedIn,,Unqualified
Sonovus Energy,chad.davis@sonovusenergy.com,21-09-2023 21:58,0,,,,,,Sales Enablement,LinkedIn,,Dormant
SolQ,casey@solq.com,21-09-2023 21:58,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
First Texas Energy,tracyodom@firsttexasenergy.com,21-09-2023 21:59,0,,,,,,Sales Enablement,LinkedIn,,Follow Up
Citadel Roofing and Solar,anitzkin@citadelrs.com,21-09-2023 22:00,14.29,17-03-2024 20:01,29-04-2024 19:14,26-07-2024 21:47,goodleap,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Launched
Treeium Inc,rotem.levy@treeium.com,21-09-2023 22:02,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Quest Solar,tony@questsolar.com,21-09-2023 22:03,0,,,,,,Sales Enablement,LinkedIn,,Follow Up
Photon Brothers,david@photonbrothers.com,21-09-2023 22:04,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
EMRZ Construction,emersonmartinezsolar@gmail.com,21-09-2023 22:06,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Core Energy Solar,peter.almeidasr@coreenergysolar.com,21-09-2023 22:07,0,14-10-2024 22:05,,,,,Sales Enablement,LinkedIn,,New
Energy Solutions Direct,jared@energysolutionsdirect.com,21-09-2023 22:08,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Gold Rush Energy,brett@goldrushenergysolutions.com,21-09-2023 22:10,0,,,,,Kelvin Hayes,Sales Enablement,Referral,,Dormant
Helio GreenTech,cmiller@heliogt.com,21-09-2023 22:11,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Prusak Roofing,jim@prusakroofing.com,21-09-2023 22:13,0,,,,,,Sales Enablement,Conference,,Dormant
Turn Solar,matt+turnsolar@turnsolartoday.com,22-09-2023 20:45,100,,,28-01-2024 20:20,,,Sales Enablement,LinkedIn,Craig Kersey(ckersey@subcontractorhub.com),Retention
GoodLeap Resi Solar,goodleap+ready@subcontractorhub.com,25-09-2023 12:44,100,,26-02-2024 18:58,01-05-2024 15:38,goodleap,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Launched
WireNutz Solar LLC,wes@wnzsolar.com,25-09-2023 17:26,20,,09-10-2023 22:08,,,Ryan Higgins,Sales Enablement,Referral,,Not Interested
Flash Roofing,dylan@flashroof.com,26-09-2023 00:02,0,27-10-2023 17:11,,,,Reana Brenes,Sales Enablement,Referral,,Dormant
The Solar Bros,timothy@test.com,28-09-2023 05:38,0,04-12-2023 19:15,,,,,Sales Enablement,Website,,Follow Up
GreenStar Power,eric@greenstarpower.com,28-09-2023 22:01,0,,,,,,Sales Enablement,LinkedIn,,Follow Up
Freedom Sun,freedomsunlivefree@gmail.com,28-09-2023 22:03,0,,,,,,Sales Enablement,LinkedIn,,Dormant
AWS Electrical  Solar,fm@aws-solar.com,28-09-2023 22:11,0,,,,,,Sales Enablement,LinkedIn,,Dormant
SubHub Trial Account,sarkisian@txlonghornsolar.com,29-09-2023 17:15,91.07,29-09-2023 20:43,,,,,Sales Enablement,,,Cancelled
4th Day Energy,chad@4thdayenergy.com,02-10-2023 22:45,20,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
AWS Electrical and Solar Inc. dba AWS Electrical Services ,fm@aws-solar.com,03-10-2023 16:02,40,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
Pacific Coast Generation Inc.,Jvasquez@pacificcoastgeneration.com_old,03-10-2023 16:48,20,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
ACDC Power,aflores@getacdcpower.com,03-10-2023 16:59,80,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Sater Electric LLC,shaun@saterelectric.com,03-10-2023 17:03,20,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Florida Eco Electric LLC Kenkay Solar,felix@kenkaysolar.com,03-10-2023 19:55,100,,30-11-2023 10:30,,,,Marketplace,,,Approved
Next Phase Electric,hliu@nextphaseelect.com,04-10-2023 22:27,20,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
Cal-Sun Construction LLC,tyler@calsunconstruction.com,04-10-2023 22:43,40,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Dynamic SLR,adweik@dynamicslr.com,05-10-2023 19:06,0,,,,,Dustin O'Dell,Sales Enablement,Partnership,,Dormant
All Pro Solar,allprosolarllc@gmail.com,06-10-2023 17:10,33.33,,02-02-2024 19:45,,,,Sales Enablement,LinkedIn,Curtis Hills(curtis@subcontractorhub.com),Follow Up
Smith Family Consultants,smithfamilyconsultants@gmail.com,06-10-2023 17:15,0,,,,,,Sales Enablement,,,Not Interested
Intermountain Wind Solar,justin@imwindandsolar.com,06-10-2023 21:38,0,,,,,,Sales Enablement,LinkedIn,,Follow Up
Green Solar Enterprise,nickiz@greensoltech.com,06-10-2023 21:44,0,,,,,,Sales Enablement,,,Not Interested
Active Solar Inc,cjames@activesolarinc.com,06-10-2023 22:13,0,,,,,,Sales Enablement,,,Not Interested
ATX Solar,blake@goatxsolar.com,06-10-2023 22:14,0,,,,,,Sales Enablement,,,Follow Up
KRG Roofing,jalvarez.krg@gmail.com,06-10-2023 22:17,0,,,,,,Sales Enablement,LinkedIn,,Dormant
New Leaf Solar,chad@newleafsolar.org,06-10-2023 22:21,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
Solar Rey,ceo@solarrey.net,06-10-2023 22:27,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
Kratos Solar Power,joseguerrero2011@yahoo.com,06-10-2023 22:29,0,,,,,,Sales Enablement,,,Dormant
Frederic Roofing,grant@fredericroofing.com,06-10-2023 22:33,0,,,,,,Sales Enablement,LinkedIn,,Dormant
Sattler Solar Inc,erik@sattlersolar.com,06-10-2023 22:53,0,,,,,,Sales Enablement,Subcontractorhub,,Dormant
Cheetah Solar,andy.hansen@cheetahsolar.co,06-10-2023 22:56,0,,,,,,Sales Enablement,LinkedIn,,Not Interested
bhawanaLIveSUbhub,bhawana+bhawanaLIveSUbhub@expansionjs.com,10-10-2023 12:22,100,,,,,,Easy Quote,,,Launched
Cobex Construction,VazgenD@cobexcg.com,11-10-2023 15:34,0,27-10-2023 17:37,,,,,Sales Enablement,LinkedIn,,Dormant
Baize Electric and Solar Tech,adam@bestsolar.pro,11-10-2023 21:01,100,,11-10-2023 21:01,01-12-2023 00:10,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Launched
combo,priya+test321@expansionjs.com,17-10-2023 06:20,0,17-10-2023 06:20,,,,test,Easy Quote,Website,,New
LivSmart Solar,Bsearle@livsmartsolar.com,17-10-2023 21:03,0,,30-11-2023 10:29,,,Dustin Mansell,Marketplace,Partnership,,Onboarding
LivSmart,Bsearle@livsmartsolar.com,17-10-2023 21:03,100,17-10-2023 21:03,30-10-2023 19:29,01-12-2023 00:41,,Dustin Mansell,Sales Enablement,Partnership,Craig Kersey(ckersey@subcontractorhub.com),Launched
Sol Source LLC,bconnectedmikeb@gmail.com,19-10-2023 18:40,100,,30-11-2023 10:30,,,Aavra Ogden,Marketplace,Referral,,Approved
Orca Roofing,trinidad@orcaroofing.com,23-10-2023 04:58,0,23-10-2023 04:58,,,,,Easy Quote,LinkedIn,,New
Volt Solar Energy,mb@voltsolarenergy.com,23-10-2023 05:03,0,23-10-2023 05:03,,,,,Sales Enablement,LinkedIn,,Dormant
Sunsource Inc,swintonian77@gmail.com,23-10-2023 05:11,16.67,,30-11-2023 10:30,,,,Marketplace,Website,,Onboarding
Core Energy,peter.almeidasr@coreenergysolar.com,23-10-2023 05:19,0,23-10-2023 05:19,,,,,Easy Quote,LinkedIn,,New
Good Energy Solar Redefined,bri@goodenergyllc.us,23-10-2023 05:29,0,23-10-2023 05:29,,,,,Sales Enablement,LinkedIn,,Not Interested
Roanoke Roofing TX Inc,joey@roanokeroofingtx.com,23-10-2023 05:32,0,23-10-2023 05:32,,,,,Sales Enablement,,,Dormant
AM Sun Solar,cory@amsunsolar.com,23-10-2023 05:38,0,23-10-2023 05:38,,,,,Sales Enablement,Subcontractorhub,,Dormant
Solar Planet Inc,produce@solarplanetinc.com,23-10-2023 05:41,0,23-10-2023 05:41,,,,,Sales Enablement,Website,,Dormant
Radiant Roofing,tammy@radiantremediation.com,23-10-2023 05:43,0,23-10-2023 05:43,,,,,Sales Enablement,LinkedIn,,Dormant
Quantum Solar Power,jvbrown@qtmsolar.com,23-10-2023 05:56,0,23-10-2023 05:56,,,,,Easy Quote,LinkedIn,,New
Pristine Roofing,officialbmaxwell@yahoo.com,23-10-2023 05:58,0,23-10-2023 05:58,,,,,Sales Enablement,LinkedIn,,Dormant
Porter Roofing,taylor@porterroof.com,23-10-2023 05:59,0,23-10-2023 05:59,,,,,Sales Enablement,LinkedIn,,Dormant
Restoration Roofing,genaro@restorationroofingusa.com,23-10-2023 06:02,0,23-10-2023 06:02,,,,,Sales Enablement,LinkedIn,,Dormant
Aspen Contracting,aperalta@roofsbyaspen.com,23-10-2023 06:06,0,23-10-2023 06:06,,,,,Sales Enablement,LinkedIn,,Dormant
Underline Energy Concepts,sal@underlineconcepts.com,23-10-2023 06:08,0,23-10-2023 06:08,,,,,Easy Quote,LinkedIn,,New
Allied Precision Roofing,maria@alliedprecisionrc.com,23-10-2023 06:13,0,23-10-2023 06:13,,,,,Sales Enablement,LinkedIn,,Dormant
Solar Energy Consultants,william@sec.services,23-10-2023 06:16,0,23-10-2023 06:16,,,,,Easy Quote,LinkedIn,,New
Solar in Cache Valley,jason@solarincachevalley.com,23-10-2023 06:18,0,23-10-2023 06:18,,,,,Easy Quote,LinkedIn,,New
Bryton Power,david@brytonpower.com,23-10-2023 06:20,0,23-10-2023 06:20,,,,,Easy Quote,,,New
ASAP Roofing,sfield3@comcast.net,23-10-2023 06:24,0,23-10-2023 06:24,,,,,Sales Enablement,LinkedIn,,Dormant
All Energy Solar,jeff.blackwell@allenergysolar.com,23-10-2023 06:27,0,23-10-2023 06:27,,,,,Easy Quote,LinkedIn,,New
Vitka Energy,angela.blair@kpostcompany.com,23-10-2023 06:30,0,23-10-2023 06:30,,,,,Sales Enablement,LinkedIn,,Dormant
Sunder Energy,zeke.parker@sunderenergy.com,23-10-2023 06:32,0,23-10-2023 06:32,,,,,Easy Quote,LinkedIn,,New
Solar Train,derekerskin@gmail.com,23-10-2023 06:37,0,23-10-2023 06:37,,,,,Sales Enablement,LinkedIn,,Unqualified
Flash Construction and Roofing,kyle@txflashcontractors.com,23-10-2023 06:39,0,23-10-2023 06:39,,,,,Sales Enablement,LinkedIn,,Dormant
Vivint Solar,josh.smith1@vivint.com,23-10-2023 07:12,0,23-10-2023 07:12,,,,Justin Brach,Sales Enablement,Referral,,Follow Up
One Solar,michael@1solar.com,23-10-2023 07:15,85.72,23-10-2023 07:15,22-07-2024 19:56,,goodleap,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Ready To Launch
Llagua Roofing,angel.ortega@llaguaroofing.com,23-10-2023 07:18,0,23-10-2023 07:18,,,,,Sales Enablement,LinkedIn,,Dormant
Faithful Pro Solar,faithharris@faithfulprosolar.com,23-10-2023 07:23,0,23-10-2023 07:23,,,,,Sales Enablement,LinkedIn,,Unqualified
The Expert Co,justin@theexpertcompany.net,23-10-2023 07:26,0,23-10-2023 07:26,,,,,Sales Enablement,LinkedIn,,Dormant
Brilliant Solar,harold.garrido@mybrilliantsolar.com,23-10-2023 07:36,87.5,23-10-2023 07:36,16-09-2024 18:14,,,Matt Cook,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Onboarding
Johnson Solar,clinton@johnsonsolar.com,23-10-2023 13:08,0,23-10-2023 13:08,,,,,Sales Enablement,LinkedIn,,Not Interested
Martin Global Renewables,bmartin@martinglobalrenewables.com,23-10-2023 13:20,0,23-10-2023 13:20,,,,,Easy Quote,LinkedIn,,New
Cool Roofs,trey@coolroofs.co,23-10-2023 13:26,0,23-10-2023 13:26,,,,,Sales Enablement,LinkedIn,,Not Interested
Soleil Energy,donnasalmon@verizon.net,23-10-2023 13:32,0,23-10-2023 13:32,,,,,Sales Enablement,LinkedIn,,Dormant
Red Diamond Roofing,troy@reddiamondroofing.com,23-10-2023 13:34,0,23-10-2023 13:34,,,,,Sales Enablement,LinkedIn,,Dormant
Priority Restoration Inc,billy@priority-restoration.com,23-10-2023 13:44,0,23-10-2023 13:44,,,,,Sales Enablement,LinkedIn,,Dormant
Thomas Roofing,lisa@thomasroofing.com,23-10-2023 13:47,0,23-10-2023 13:47,,,,,Sales Enablement,LinkedIn,,Dormant
Omni Exteriors,mscofield@omni-exteriors.com,23-10-2023 13:50,0,23-10-2023 13:50,,,,,Sales Enablement,LinkedIn,,Dormant
Free Up Solar LLC,jason@freeupsolar.com,23-10-2023 13:51,0,23-10-2023 13:51,,,,,Sales Enablement,LinkedIn,,Not Interested
Lindus Construction,travis.gibson@lindusco.com,23-10-2023 13:54,0,23-10-2023 13:54,,,,,Sales Enablement,LinkedIn,,Dormant
Stronghold Construction,zach@stronghold.construction,23-10-2023 14:01,0,23-10-2023 14:01,,,,,Sales Enablement,LinkedIn,,Dormant
Sanchez Single Ply Roofing,daniel@sanchezroofingca.com,23-10-2023 14:05,0,23-10-2023 14:05,,,,,Sales Enablement,LinkedIn,,Dormant
Elite Claim Solutions,rleffler@eliteclaimsolutions.com,23-10-2023 14:09,0,23-10-2023 14:09,,,,,Sales Enablement,,,Dormant
Ultra Lux Construction,pzarubin@ultra-gc.com,23-10-2023 14:12,0,23-10-2023 14:12,,,,,Sales Enablement,LinkedIn,,Dormant
A Plus Roofing,aprmek@yahoo.com,23-10-2023 14:19,0,23-10-2023 14:19,,,,,Sales Enablement,LinkedIn,,Dormant
Kaminski Construction LLC,gcassistant@kaminskiconstruction.com,23-10-2023 14:19,0,23-10-2023 14:19,,,,,Sales Enablement,LinkedIn,,Dormant
Sunny Solar,phillip.mcneil@outlook.com,23-10-2023 14:26,0,23-10-2023 14:26,,,,,Sales Enablement,LinkedIn,,Unqualified
RSG Roofing,jm@linkedin.com,23-10-2023 14:29,0,23-10-2023 14:29,,,,,Sales Enablement,LinkedIn,,Dormant
Sky Energy Home Solutions LLC,jnowell1@gmail.com,24-10-2023 17:36,100,,30-11-2023 10:29,,,,Marketplace,,,Approved
Murrieta Solar Power,jeff@murrietasolarpower.com,24-10-2023 21:43,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Sunternal,alex@sunternalsolar.com,24-10-2023 21:49,0,25-10-2023 20:40,,,,,Sales Enablement,Website,,Dormant
Core Energy Inc,peterSr@coreenergysolar.com,25-10-2023 20:01,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
4th Day Energy,russ@4thdayenergy.com,25-10-2023 22:58,0,27-10-2023 17:13,,,,Steve Doll,Sales Enablement,Referral,,Dormant
Avvio  Solar,brandonb@avvioservices.com,26-10-2023 18:45,0,26-10-2023 18:45,,,,,Sales Enablement,Website,,Dormant
Bluecore Solar LLC,jorge@bluecoresolar.com,27-10-2023 15:12,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Solar Fuze,fh@solarfuze.com,27-10-2023 16:18,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Quick Roofing,joe.janssen@quickroofing.com,27-10-2023 16:27,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
SUNation Solar Systems Inc,bkarp@sunation.com,27-10-2023 16:36,66.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Restoration Builders,cmireau@comcast.net,27-10-2023 16:50,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Blue Raven Solar,spencer.jensen@blueravensolar.com,27-10-2023 16:54,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Impact Solar,info@impactenergy.net,27-10-2023 17:03,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Triumph Roofing,brad@triumphroofing.net,27-10-2023 17:08,16.67,,30-11-2023 10:30,,,,Marketplace,Conference,,Onboarding
Mighty Dog Roofing,x5coop@aol.com,27-10-2023 17:15,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Black Rock Solar,chansen@blackrocksolar.com,27-10-2023 17:18,16.67,,30-11-2023 10:30,,,,Marketplace,Referral,,Onboarding
HDZ Roofing,gustavohe209@aol.com,27-10-2023 17:23,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
MM Home Remodeling Services,kristi@m-mcorp.com,27-10-2023 17:24,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
High Peak Roofing,admin@peakroofing.org,27-10-2023 17:30,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
AM Warrior Roofing,amwarriorandg@gmail.com,27-10-2023 17:33,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Cobex Construction,VazgenD@cobexcg.com,27-10-2023 17:37,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Restore Pros,nick@irestorepros.com,27-10-2023 17:46,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Universal Contracting Solar,jose@ucroof.com,27-10-2023 17:49,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Solar Doctors,sid@solardoctorsllc.com,27-10-2023 17:52,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Glyde Solar,unknownemail@glyde.com,27-10-2023 17:55,0,,30-11-2023 10:30,,,Ryan Higgins,Marketplace,Referral,,Onboarding
Haynes Electric,chaynes4591@gmail.com,27-10-2023 17:56,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
JBL Solar Energy,chris.mike2400@gmail.com,27-10-2023 17:58,0,,30-11-2023 10:30,,,,Marketplace,Website,,Onboarding
JAJ roofing dba Citadel Roofing & Solar ,anitzkin@citadelrs.com,27-10-2023 17:59,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Rise Energy,mcook.hcc@gmail.com,27-10-2023 18:07,0,,30-11-2023 10:30,,,Matt Cook,Marketplace,,,Onboarding
Skydot Energy,warren@skydot.energy,31-10-2023 15:14,0,04-12-2023 19:09,,,,Suntuity,Easy Quote,Referral,,New
Skydot Energy,warren@skydot.energy,31-10-2023 15:14,0,04-12-2023 19:09,,,,Suntuity,Sales Enablement,Referral,,Follow Up
